104,Ilves,PS_Kemi,1,1,3821
105,RoPS,HIFK,1,0,2011
106,IFK_Mariehamn,FC_Inter,0,0,1607
107,VPS,KuPS,3,0,3689
108,HIFK,SJK,1,1,3313
109,PS_Kemi,VPS,0,0,1526
110,FC_Inter,HJK,0,0,2855
111,FC_Lahti,IFK_Mariehamn,1,1,1925
112,KuPS,RoPS,1,1,2390
113,PK35_Vantaa,Ilves,1,1,1560
114,PS_Kemi,PK35_Vantaa,2,1,1457
115,Ilves,FC_Inter,0,0,2678
116,SJK,KuPS,1,0,3578
117,HJK,FC_Lahti,2,2,2562
118,IFK_Mariehamn,HIFK,2,5,1462
119,RoPS,VPS,2,0,1777
120,FC_Inter,PK35_Vantaa,2,2,2913
121,FC_Lahti,Ilves,3,2,1787
122,HIFK,HJK,0,0,10500
123,KuPS,IFK_Mariehamn,1,0,2087
124,RoPS,PS_Kemi,5,0,3024
125,VPS,SJK,2,1,5987
126,Ilves,HIFK,3,1,2609
127,PK35_Vantaa,FC_Lahti,1,1,868
128,PS_Kemi,FC_Inter,3,1,949
129,SJK,RoPS,3,1,3675
130,VPS,IFK_Mariehamn,0,2,2321
131,HJK,KuPS,2,3,3052
132,PS_Kemi,RoPS,3,1,2273
133,SJK,Ilves,4,0,3560
134,FC_Lahti,FC_Inter,1,2,2032
135,IFK_Mariehamn,HIFK,1,0,1205
136,KuPS,PK35_Vantaa,3,0,2585
137,VPS,HJK,0,0,4321
138,HJK,PK35_Vantaa,2,0,3362
139,Ilves,RoPS,1,1,2616
140,PK35_Vantaa,PS_Kemi,0,1,803
141,FC_Inter,Ilves,0,1,1647
142,HIFK,SJK,3,1,3297
143,RoPS,FC_Lahti,3,0,1121
144,HJK,KuPS,1,0,3025
145,IFK_Mariehamn,VPS,0,0,1305
146,PS_Kemi,HJK,0,2,2023
147,FC_Lahti,PK35_Vantaa,2,0,3074
148,HIFK,VPS,0,1,2962
149,Ilves,RoPS,2,1,2915
150,KuPS,IFK_Mariehamn,2,1,2621
151,SJK,FC_Inter,1,0,4219
152,FC_Inter,HIFK,0,0,2197
153,HJK,FC_Lahti,1,4,4326
154,IFK_Mariehamn,PS_Kemi,1,0,1608
155,PK35_Vantaa,Ilves,1,3,560
156,RoPS,SJK,1,1,1710
157,VPS,KuPS,1,1,3112
158,FC_Inter,HJK,3,2,2279
159,FC_Lahti,KuPS,1,1,1471
160,HIFK,PS_Kemi,3,1,2510
161,Ilves,VPS,0,0,3270
162,RoPS,PK35_Vantaa,1,0,1323
163,SJK,IFK_Mariehamn,1,0,3839
164,PK35_Vantaa,HIFK,0,2,1230
165,PS_Kemi,FC_Lahti,2,4,1266
166,HJK,RoPS,2,1,5142
167,IFK_Mariehamn,FC_Inter,1,1,1407
168,KuPS,Ilves,1,2,2115
169,VPS,SJK,1,2,4322
170,Ilves,PS_Kemi,2,0,3622
171,RoPS,IFK_Mariehamn,1,1,1933
172,FC_Inter,VPS,1,1,1712
173,FC_Lahti,HIFK,0,0,2115
174,SJK,KuPS,1,0,3109
175,HIFK,HJK,2,1,10171
